vtkOriginalIndices,Heat[W/m^3],Points:0,Points:1,Points:2,__vtkIsSelected__
244,7.84E+06,0.111,0.101448,0.0989391,0
245,8.00E+06,0.111,0.101448,0.0989672,0
246,1.41E+07,0.111,0.10575,0.1008,0
247,109911,0.111,0.100241,0.108408,0
248,99822.8,0.111,0.100363,0.108764,0
249,119935,0.111,0.101119,0.108163,0
250,188959,0.111,0.0919575,0.106324,0
251,243259,0.111,0.0915235,0.105745,0
252,146242,0.111,0.107701,0.0926162,0
253,150987,0.111,0.107354,0.0926931,0
254,190730,0.111,0.10733,0.0932564,0
255,1.12E+07,0.111,0.095608,0.100926,0
256,742287,0.111,0.0964514,0.103753,0
257,742316,0.111,0.0964486,0.103753,0
258,740813,0.111,0.0964478,0.103758,0
259,1.24E+07,0.111,0.09925,0.1008,0
260,1.27E+07,0.111,0.0995,0.1008,0
261,875589,0.111,0.108986,0.103609,0
262,1.44E+06,0.111,0.109163,0.102839,0
263,1.39E+06,0.111,0.10879,0.102893,0
264,705379,0.111,0.105467,0.103875,0
265,761430,0.111,0.105017,0.103702,0
266,530022,0.111,0.105331,0.104401,0
267,578867,0.111,0.104967,0.104251,0
268,2.54E+06,0.111,0.096814,0.10208,0
269,5.10E+06,0.111,0.0926838,0.0984156,0
270,6.25E+06,0.111,0.0924873,0.0985108,0
271,7.71E+06,0.111,0.0926876,0.0986758,0
272,2.13E+06,0.111,0.0900724,0.097603,0
273,2.21E+06,0.111,0.0902424,0.097618,0
274,1.55E+06,0.111,0.0904423,0.0971852,0
275,1.13E+07,0.111,0.106635,0.0989785,0
276,1.14E+07,0.111,0.106638,0.0989818,0
277,1.13E+07,0.111,0.106657,0.0989782,0
278,4.33E+06,0.111,0.104224,0.101603,0
279,5.51E+06,0.111,0.104352,0.10146,0
280,6.73E+06,0.111,0.103958,0.101264,0
281,8.29E+06,0.111,0.104296,0.10109,0
282,4.46E+06,0.111,0.0965889,0.101525,0
283,3.85E+06,0.111,0.0963906,0.101691,0
284,1.22E+07,0.111,0.0985,0.1008,0
285,3.51E+06,0.111,0.109884,0.102,0
286,2.77E+06,0.111,0.110082,0.102066,0
287,4.85E+06,0.111,0.110279,0.101662,0
288,3.14E+06,0.111,0.1016,0.101871,0
289,2.93E+06,0.111,0.101521,0.101922,0
290,2.79E+06,0.111,0.101552,0.101966,0
291,8.87E+06,0.111,0.101816,0.0989493,0
292,8.65E+06,0.111,0.101788,0.0989384,0
293,9.40E+06,0.111,0.101776,0.0989844,0
294,3.05E+06,0.111,0.103443,0.0981095,0
295,3.29E+06,0.111,0.103972,0.0981712,0
296,2.15E+06,0.111,0.10372,0.0976894,0
297,1.88E+06,0.111,0.0974312,0.097555,0
298,3.26E+06,0.111,0.0892866,0.101587,0
299,2.90E+06,0.111,0.0892058,0.101763,0
300,3.29E+06,0.111,0.0893747,0.101653,0
301,8.31E+06,0.111,0.093271,0.0987881,0
302,278248,0.111,0.085637,0.097117,0
303,471309,0.111,0.0941005,0.104576,0
304,460817,0.111,0.0940682,0.104628,0
305,458389,0.111,0.0941207,0.10464,0
306,683629,0.111,0.0894641,0.0965992,0
307,5.71E+06,0.111,0.0957563,0.101374,0
308,2.94E+07,0.111,0.109987,0.100968,0
309,2.72E+07,0.111,0.110021,0.100976,0
310,4.35E+07,0.111,0.11,0.1008,0
311,1.05E+07,0.111,0.0929325,0.101051,0
312,7.37E+06,0.111,0.0926666,0.101277,0
313,9.85E+06,0.111,0.0929577,0.101086,0
314,9.17E+06,0.111,0.0926672,0.101165,0
315,646492,0.111,0.105908,0.104009,0
316,7.32E+06,0.111,0.1004,0.0988383,0
317,8.27E+06,0.111,0.100303,0.0989746,0
318,1.34E+07,0.111,0.1055,0.1008,0
319,9.97E+06,0.111,0.105517,0.101036,0
320,200707,0.111,0.102984,0.0932508,0
321,202144,0.111,0.102949,0.0932621,0
322,247395,0.111,0.103076,0.0937315,0
323,211930,0.111,0.0934639,0.0935898,0
324,162696,0.111,0.092304,0.0928685,0
325,243709,0.111,0.0925258,0.0939664,0
326,1.32E+06,0.111,0.108409,0.102947,0
327,1.25E+06,0.111,0.108487,0.103016,0
328,1.56E+07,0.111,0.09325,0.1008,0
329,1.57E+07,0.111,0.0935,0.1008,0
330,2.06E+06,0.111,0.0946196,0.0976009,0
331,3.05E+06,0.111,0.0950572,0.0980298,0
332,2.10E+06,0.111,0.095259,0.0976439,0
333,1.19E+07,0.111,0.10175,0.0992,0
334,8.28E+06,0.111,0.101565,0.0989644,0
335,6.05E+06,0.111,0.100065,0.098684,0
336,2.52E+07,0.111,0.110009,0.101006,0
337,1.38E+06,0.111,0.109246,0.102902,0
338,1.34E+07,0.111,0.094,0.1008,0
339,1.43E+06,0.111,0.109348,0.0971524,0
340,1.34E+06,0.111,0.109213,0.0970291,0
341,1.55E+06,0.111,0.109239,0.0972539,0
342,1.53E+07,0.111,0.108205,0.100977,0
343,1.47E+07,0.111,0.108202,0.101009,0
344,1.91E+07,0.111,0.1085,0.1008,0
345,376312,0.111,0.108118,0.104866,0
346,614334,0.111,0.108779,0.104055,0
347,583145,0.111,0.108183,0.104116,0
348,658706,0.111,0.108851,0.1039,0
349,734687,0.111,0.0908178,0.0962956,0
350,562763,0.111,0.0907202,0.0959048,0
351,9.98E+06,0.111,0.0957349,0.10101,0
352,1.40E+07,0.111,0.108194,0.0989826,0
353,1.92E+07,0.111,0.10825,0.0992,0
354,1.18E+07,0.111,0.108498,0.0988984,0
355,1.03E+07,0.111,0.0955689,0.100992,0
356,229546,0.111,0.10677,0.0937957,0
357,153424,0.111,0.106347,0.0926687,0
358,195582,0.111,0.106079,0.0933001,0
359,214068,0.111,0.10691,0.0935634,0
360,8.60E+06,0.111,0.0990288,0.0989561,0
